dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr
10294228,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10294228,M031086,320030349,Manganese Prospect,36.0881,-114.85223,NA,United States,Nevada,Clark,M,Manganese,,,Surface,,,Occurrence,,,,,,,,,Manganese Occurrence,,"Ridenour, James",,,,,,,"NEV BUR MINES BULL 62,1965,P.199.USGS BULL 948-D, 1949, P.98.",,,,,,,,
10289224,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10289224,,320030720,Legion Nos. 1-2,36.42219,-114.24521,NA,United States,Nevada,Clark,N,Gypsum-Anhydrite,,,Surface,,,Prospect,,,,,,,,,,,"Winters, Dick",,,,,,,"U.S. BUREAU OF MINES OPEN-FILE REPORT MLA 40-88, 1988,APPENDIX G, NO. 1, P. 41.",,,,,,,,
10286545,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10286545,,60712540,Unnamed Prospect,35.41691,-115.15223,NA,United States,California,San Bernardino,M,Uranium,,,Surface,,,Prospect,,,,,,,,,,,"Gese, Diann D.",,,,,,,"U. S. BUREAU OF MINES OPEN-FILE REPORT MLA 9-84, 1984, P. 10.",,,,,,,,
10286377,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10286377,,60711195,Lucy Gray,35.46331,-115.21223,NA,United States,California,San Bernardino,M,Lead,,"Copper, Gold, Silver",Underground,,,Prospect,,,,,,,,,,,"Ridenour, James",,,,,,,"CALIF. DIV. MINES BULLETIN 144, 1948, P. 311.",,,,,,,,
10281486,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10281486,,320030801,Volcanic Ash Prospect,36.75858,-114.83083,NA,United States,Nevada,Clark,N,Bentonite,,,Surface,,,Prospect,,,,,,,,,,,"Ridenour, James",,,,,,,"NEV. BUREAU OF MINES AND GEOL. REPORT 45, P. 7.",,,,,,,,
10281379,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10281379,,320030664,Po' Boy,36.60279,-114.35642,NA,United States,Nevada,Clark,M,Gold,,Silver,Surface,,,Past Producer,,,,,,,,,Pilot Program,,"Ridenour, James",,,,,,,"DMI, 1981, P. 10.",,,,,,,,
10280908,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10280908,,320030396,Sunset Pit and Mill,36.0592,-115.01833,NA,United States,Nevada,Clark,N,"Sand and Gravel, Construction",,,Surface,,,Producer,,,,,,,,,,,"Ridenour, James",,,,,,,"DIRECTORY OF ACTIVE NEV MINES OCT. 1975, STATE INSPECTORMINES, P. 9.STATE OF NEVADA.  DIRECTORY OF NEVADA MINE OPERATIONS ACTIVEDURING CALENDAR YEAR 1982, COMPILED BY DIVISION OF MINEINSPECTION, 1983, P. 6.",,,,,,,,
10271402,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271402,,320030745,Barney,35.7956,-114.78612,NA,United States,Nevada,Clark,M,Gold,,,Unknown,,,Occurrence,,,,,,,,,"Fred, Betty, Pebbles, Flintstone Group, Wilma, Bam Bam",,"Causey, J. Douglas",,,,,,,"U.S. BUREAU OF MINES OPEN-FILE REPORT MLA-44-88, 1988,TABLE 5, NO. 1, P. 33.",,,,,,,,
10271291,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271291,,320030711,West Ann Road Pit,36.26439,-115.36334,NA,United States,Nevada,Clark,N,"Sand and Gravel, Construction",,,Surface,,,Plant,,,,,,,,,,,"Ridenour, James",,,,,,,"DIRECTORY OF NEVADA MINE OPERATIONS ACTIVE IN 1985, COMPILEDBY DIVISION OF MINE INSPECTION, 1985, P.12",,,,,,,,
10271238,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271238,,320030814,Bruna Biasi Well,36.75609,-114.15912,NA,United States,Nevada,Clark,,Geothermal,,,Well,,,Producer,,,,,,,,,,,"Ridenour, James",,,,,,,"NEV. BUREAU OF MINES AND GEOL. REPORT 45, 1989, P.1 2.",,,,,,,,
10271201,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271201,,320030698,Apprentice Prospect,35.5742,-115.15643,NA,United States,Nevada,Clark,M,Copper,,,Underground,,,Prospect,,,,,,,,,,,"Close, Terry J.",,,,,,,"U.S. BUREAU OF MINES OPEN-FILE REPORT MLA 11-87, 1987, TABLE 5,NO. 10, P. 21.",,,,,,,,
10271194,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271194,2601860,320030710,Nevada Cobalt Mine & Mill,35.47941,-114.80442,NA,United States,Nevada,Clark,M,Gold,,Silver,Surface,,,Plant,,,,,,,,,,,"Ridenour, James",,,,,,,"DIRECTORY OF NEVADA MINE OPERATIONS ACTIVE IN 1984, COMPILEDBY DIVISION OF MINE INSPECTION, 1985, P.11",,,,,,,,
10271190,https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10271190,,320030799,Jordan Claims,36.55639,-114.85643,NA,United States,Nevada,Clark,N,"Limestone, General",,,Surface,,,Prospect,,,,,,,,,,,"Ridenour, James",,,,,,,"NEV. BUREAU OF MINES AND GEOL. REPORT 45, 1989, P. 7.",,,,,,,,
